,popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year
155,13,86615,0.395,0.833,0,-5.3,0.178,0.00109,0.0,0.482,0.5670000000000001,108.573,3,2021
156,13,113685,0.561,0.0175,3,-20.792,0.0787,0.991,0.912,0.0935,0.127,79.94,4,2021
157,12,52535,0.351,0.877,4,-6.507999999999999,0.0513,8.83e-06,0.627,0.7390000000000001,0.247,108.519,4,2021
158,13,285120,0.423,0.407,10,-7.45,0.0267,0.312,0.0009609999999999,0.11,0.161,139.048,3,2021
159,13,127385,0.652,0.486,5,-10.448,0.0297,0.281,0.933,0.0869,0.477,129.936,4,2021
160,16,255428,0.772,0.6759999999999999,1,-9.38,0.122,0.000966,0.000719,0.0277,0.958,139.983,4,2020
161,11,137063,0.347,0.8420000000000001,2,-6.347,0.0896,0.000101,0.0,0.154,0.207,104.778,4,2021
162,11,55052,0.149,0.6970000000000001,4,-6.528,0.0545,9.64e-06,0.4589999999999999,0.163,0.312,151.828,4,2021
163,11,146852,0.321,0.888,11,-5.297000000000001,0.151,0.000344,0.0,0.293,0.613,100.407,4,2021
164,12,136069,0.66,0.0157,9,-19.116,0.305,0.986,0.778,0.123,0.0611,76.84100000000001,5,2021
165,12,123799,0.369,0.773,1,-5.416,0.0512,0.000171,0.0,0.33,0.417,104.969,4,2021
166,12,135047,0.7090000000000001,0.0219,0,-19.797,0.233,0.993,0.877,0.0868,0.081,79.36,4,2021
167,16,250714,0.562,0.723,10,-7.653,0.0298,0.000329,0.4589999999999999,0.402,0.451,139.918,4,2020
168,16,203998,0.7440000000000001,0.568,9,-5.678999999999999,0.195,0.00176,0.00161,0.0539,0.825,139.981,4,2020
169,16,260827,0.813,0.716,10,-5.376,0.13,0.0386,1.23e-05,0.0798,0.91,149.95600000000002,4,2020
170,11,114985,0.677,0.0173,4,-20.005,0.188,0.988,0.941,0.119,0.0967,71.736,4,2021
171,15,275493,0.601,0.784,5,-3.95,0.0392,0.0469,0.0,0.173,0.691,141.958,4,2020
172,15,141034,0.662,0.551,4,-9.751,0.122,0.8009999999999999,0.926,0.131,0.2739999999999999,66.51899999999999,4,2021
173,15,234847,0.7290000000000001,0.828,9,-5.144,0.0458,0.00335,0.0184,0.0446,0.86,139.996,4,2020
174,15,233446,0.6859999999999999,0.7490000000000001,11,-7.18,0.0656,0.0098599999999999,0.0846,0.0501,0.898,139.998,4,2020
175,0,555445,0.251,0.144,7,-20.615,0.0553,0.8590000000000001,0.00426,0.0785,0.0606,72.59899999999999,4,2021
176,0,196517,0.422,0.22,2,-17.335,0.0887,0.807,0.00178,0.0867,0.37,91.421,4,2021
177,0,111920,0.601,0.249,2,-17.012999999999998,0.266,0.83,0.000707,0.1369999999999999,0.367,72.452,4,2021
178,10,399416,0.73,0.767,4,-10.421,0.0563,0.106,0.966,0.111,0.0235,136.988,4,2021
179,11,199466,0.243,0.828,4,-5.836,0.138,0.000251,1.23e-06,0.0653,0.193,197.558,4,2021
180,14,246857,0.7090000000000001,0.918,1,-6.5,0.0755,0.0622,0.27,0.0699,0.877,139.994,4,2020
181,14,233820,0.6809999999999999,0.855,1,-5.16,0.105,0.011,0.000121,0.0647,0.912,142.0,4,2020
182,14,234459,0.79,0.907,11,-6.007000000000001,0.0756,0.0436,0.0207,0.0499,0.984,139.968,4,2020
183,10,200081,0.359,0.8079999999999999,4,-5.805,0.083,0.000484,0.0,0.145,0.494,107.654,4,2021
184,14,143226,0.8370000000000001,0.263,2,-12.108,0.0618,0.802,0.8640000000000001,0.106,0.624,124.025,4,2021
185,11,156423,0.293,0.8059999999999999,7,-5.68,0.103,0.000413,1.45e-06,0.156,0.319,88.083,4,2021
186,10,364120,0.309,0.626,8,-7.77,0.0427,0.0537,5.96e-05,0.0427,0.608,76.58,4,2021
187,8,40868,0.726,0.207,1,-13.793,0.944,0.5920000000000001,0.0,0.145,0.563,117.188,3,2021
188,0,60000,0.7170000000000001,0.286,4,-17.108,0.1159999999999999,0.414,0.933,0.0922,0.652,154.782,4,2021
189,13,236364,0.759,0.502,11,-10.944,0.0409999999999999,0.000264,0.0121,0.0648,0.962,131.97,4,2020
190,12,236636,0.721,0.644,6,-8.318,0.0737,0.0026,0.703,0.0688,0.8809999999999999,141.995,4,2020
191,13,222000,0.618,0.5329999999999999,1,-6.627999999999999,0.0718,0.0217,0.0,0.0811,0.889,159.967,4,2020
192,0,227214,0.37,0.0691,0,-21.675,0.0541,0.909,2.33e-05,0.0564,0.255,85.46,3,2021
193,9,91193,0.669,0.243,8,-15.027,0.152,0.4479999999999999,0.0,0.061,0.523,158.015,4,2020
194,11,243379,0.7340000000000001,0.777,8,-4.954,0.149,0.00396,0.125,0.0354,0.965,141.958,4,2020
195,12,226666,0.732,0.7340000000000001,6,-6.127000000000001,0.157,0.00248,1.83e-05,0.0204,0.929,143.967,4,2020
196,12,232395,0.6409999999999999,0.787,11,-6.099,0.0706,0.00252,0.00735,0.0746,0.863,141.965,4,2020
197,11,228967,0.7509999999999999,0.7240000000000001,2,-10.145,0.0862,0.0208,0.0122,0.0643,0.96,138.016,4,2020
198,12,239999,0.556,0.815,0,-7.482,0.0463,0.00495,0.17,0.0322,0.931,159.988,4,2020
199,12,226666,0.72,0.88,7,-5.462000000000001,0.146,0.0020399999999999,0.0118,0.036,0.8320000000000001,144.026,4,2020
200,0,303949,0.193,0.0595,8,-23.775,0.0524,0.976,0.00032,0.119,0.0386,90.294,3,2021
201,0,502426,0.295,0.0604,4,-21.785,0.0501,0.968,9.13e-05,0.11,0.0369,90.01299999999999,4,2021
202,0,269909,0.3279999999999999,0.0775,4,-22.165,0.0579999999999999,0.934,0.0,0.0961,0.179,169.822,5,2021
203,8,219943,0.7829999999999999,0.332,4,-17.407,0.0347,0.376,0.513,0.0777,0.597,120.015,4,2021
204,9,114985,0.618,0.0196,9,-20.849,0.121,0.988,0.8909999999999999,0.126,0.0656,96.352,3,2021
205,12,173215,0.484,0.0754,4,-25.299,0.0309,0.953,0.974,0.119,0.406,77.982,3,2021
206,8,131147,0.625,0.7140000000000001,7,-12.339,0.0513,0.174,0.905,0.104,0.818,160.00799999999998,4,2021
207,11,195893,0.499,0.306,5,-10.804,0.0286,0.634,0.0,0.268,0.1639999999999999,138.011,3,2020
208,10,173013,0.957,0.831,9,-4.714,0.0436,0.077,0.0,0.0689,0.95,125.979,4,2020
209,11,142265,0.8320000000000001,0.7509999999999999,7,-4.667,0.1689999999999999,0.521,0.0002089999999999,0.0728,0.873,171.873,4,2020
210,10,231672,0.5770000000000001,0.879,1,-4.58,0.0344,0.000341,0.578,0.0946,0.958,140.841,4,2020
211,10,243783,0.618,0.939,8,-2.895,0.0916,0.00303,0.35,0.03,0.965,142.72899999999998,4,2020
212,10,233350,0.708,0.931,2,-5.869,0.0438,0.000819,0.00903,0.0736,0.779,144.005,4,2020
213,10,211928,0.81,0.609,8,-5.827999999999999,0.173,0.0076599999999999,0.00212,0.095,0.752,139.993,4,2020
214,10,251387,0.604,0.927,6,-2.914,0.0511,4.3e-05,0.00552,0.0397,0.905,139.971,4,2020
215,10,250133,0.6809999999999999,0.833,0,-5.756,0.131,0.0145,0.0244,0.0642,0.967,142.007,4,2020
216,10,243379,0.551,0.909,7,-5.394,0.0417,0.0661,0.203,0.0822,0.963,141.952,4,2020
217,10,241379,0.74,0.957,2,-5.839,0.206,0.00954,0.00596,0.0296,0.703,145.025,4,2020
218,10,225103,0.6409999999999999,0.7020000000000001,0,-6.057,0.1639999999999999,0.0002009999999999,0.00505,0.0515,0.9,144.98,4,2020
219,11,252346,0.726,0.933,8,-4.428999999999999,0.1169999999999999,0.0111,0.00407,0.147,0.6920000000000001,140.014,4,2020
220,5,289184,0.178,0.135,0,-18.851,0.0371,0.97,0.812,0.0893,0.0326,85.197,3,2020
221,7,114990,0.562,0.151,5,-18.205,0.0366,0.7909999999999999,0.82,0.1009999999999999,0.161,134.355,5,2020
222,4,169193,0.392,0.718,7,-11.01,0.0351,0.00253,0.0,0.156,0.446,144.071,4,2021
223,8,178035,0.627,0.5,11,-10.377,0.0316,0.0005139999999999,5.19e-05,0.0871,0.195,99.997,4,2021
224,7,168667,0.627,0.2789999999999999,7,-15.248,0.026,0.147,0.0616,0.118,0.726,89.99799999999999,4,2021
225,9,141125,0.6629999999999999,0.3979999999999999,7,-12.663,0.0335,0.263,0.208,0.2189999999999999,0.347,119.938,4,2021
226,9,139511,0.713,0.3779999999999999,7,-12.905,0.0311,0.124,0.726,0.345,0.6409999999999999,140.029,4,2021
227,5,113406,0.687,0.0193,2,-20.763,0.113,0.987,0.909,0.113,0.12,104.933,3,2021
228,8,138760,0.7829999999999999,0.7290000000000001,6,-4.098,0.0415,0.0464,0.0003799999999999,0.102,0.5660000000000001,140.004,4,2020
229,8,173160,0.8590000000000001,0.4629999999999999,11,-7.7,0.1,0.303,0.000104,0.324,0.603,115.993,4,2020
230,8,161023,0.725,0.81,6,-4.3180000000000005,0.0517,0.627,0.00454,0.3279999999999999,0.555,140.05700000000002,4,2020
231,4,128770,0.556,0.75,0,-10.96,0.0309,0.00466,0.0,0.218,0.907,98.784,4,2021
232,8,236636,0.7929999999999999,0.58,11,-4.67,0.0568,0.0102,0.2789999999999999,0.062,0.972,141.981,4,2020
